epoch,loss,mse,total_loss,reconstruction_loss,kl_loss,val_loss,val_mse,val_total_loss,val_reconstruction_loss,val_kl_loss
0.000000000000000000e+00,5.805756568908691406e+00,2.902878284454345703e+00,2.887172222137451172e+00,2.887172222137451172e+00,1.892685174942016602e+00,3.022089242935180664e+00,1.511044621467590332e+00,1.512104272842407227e+00,1.512104272842407227e+00,2.850289344787597656e-01
1.000000000000000000e+00,4.738179683685302734e+00,2.369089841842651367e+00,2.357705831527709961e+00,2.357705831527709961e+00,1.921507716178894043e+00,2.916871786117553711e+00,1.458435893058776855e+00,1.459764480590820312e+00,1.459764480590820312e+00,2.697480916976928711e-01
2.000000000000000000e+00,4.004971504211425781e+00,2.002485752105712891e+00,1.994482517242431641e+00,1.994482517242431641e+00,1.933504700660705566e+00,2.801586627960205078e+00,1.400793313980102539e+00,1.401947259902954102e+00,1.401947259902954102e+00,2.685649394989013672e-01
3.000000000000000000e+00,3.450333118438720703e+00,1.725166559219360352e+00,1.719583272933959961e+00,1.719583272933959961e+00,1.957190155982971191e+00,2.703821897506713867e+00,1.351910948753356934e+00,1.353398561477661133e+00,1.353398561477661133e+00,2.903421521186828613e-01
4.000000000000000000e+00,3.051802158355712891e+00,1.525901079177856445e+00,1.521971106529235840e+00,1.521971106529235840e+00,1.994438409805297852e+00,2.569211721420288086e+00,1.284605860710144043e+00,1.285776138305664062e+00,1.285776138305664062e+00,3.280947804450988770e-01
5.000000000000000000e+00,2.755406141281127930e+00,1.377703070640563965e+00,1.374460101127624512e+00,1.374460101127624512e+00,2.091271400451660156e+00,2.433209180831909180e+00,1.216604590415954590e+00,1.218002557754516602e+00,1.218002557754516602e+00,3.958862423896789551e-01
6.000000000000000000e+00,2.500392675399780273e+00,1.250196337699890137e+00,1.247963428497314453e+00,1.247963428497314453e+00,2.179442882537841797e+00,2.308163404464721680e+00,1.154081702232360840e+00,1.155783653259277344e+00,1.155783653259277344e+00,4.688627123832702637e-01
7.000000000000000000e+00,2.297383069992065430e+00,1.148691534996032715e+00,1.148188352584838867e+00,1.148188352584838867e+00,2.264314651489257812e+00,2.189328432083129883e+00,1.094664216041564941e+00,1.096497535705566406e+00,1.096497535705566406e+00,5.595557689666748047e-01
8.000000000000000000e+00,2.119097471237182617e+00,1.059548735618591309e+00,1.056579589843750000e+00,1.056579589843750000e+00,2.355311870574951172e+00,2.048244714736938477e+00,1.024122357368469238e+00,1.025697708129882812e+00,1.025697708129882812e+00,6.539769172668457031e-01
9.000000000000000000e+00,1.963877916336059570e+00,9.819389581680297852e-01,9.803831577301025391e-01,9.803831577301025391e-01,2.435575962066650391e+00,1.939549446105957031e+00,9.697747230529785156e-01,9.712142944335937500e-01,9.712142944335937500e-01,7.497564554214477539e-01
